#variable	;#name	;#block initialisation	;#register parameters
lightShaft	;lightShaft	;(TileBlock.create("lightShaft", Material.glass, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.0F).setResistance(10F).setStepSound(Block.soundTypeGlass)	; LightShaft.class, null
wireC	;wireC	;(new BlockPipe("wireC", Material.iron, DefaultItemBlock.class, 0x20)).setCreativeTab(tabAutomation).setHardness(0.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Wire.class, null
wireA	;wireA	;(new BlockPipe("wireA", Material.iron, DefaultItemBlock.class, 0x20)).setCreativeTab(tabAutomation).setHardness(0.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Wire.class, null
wireH	;wireH	;(new BlockPipe("wireH", Material.iron, DefaultItemBlock.class, 0x20)).setCreativeTab(tabAutomation).setHardness(0.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Wire.class, null
liquidPipe	;liquidPipe	;(new BlockLiquidPipe("liquidPipe", Material.glass, 0x20)).setHardness(0.5F).setCreativeTab(tabAutomation).setResistance(10F).setStepSound(Block.soundTypeGlass)	; LiquidPipe.class, null
itemPipe	;itemPipe	;(new BlockItemPipe("itemPipe", Material.wood, 0x20)).setCreativeTab(tabAutomation).setHardness(0.5F).setResistance(10F).setStepSound(Block.soundTypeWood)	; ItemPipe.class, null
itemWarpPipe	;itemWarpPipe	;(new BlockPipe("itemWarpPipe", Material.iron, DefaultItemBlock.class, 0x20).setCreativeTab(tabAutomation).setHardness(1.0F).setResistance(20F).setStepSound(Block.soundTypeMetal))	; ItemWarpPipe.class, null
liquidWarpPipe	;liquidWarpPipe	;(new BlockPipe("liquidWarpPipe", Material.iron, DefaultItemBlock.class, 0x20).setCreativeTab(tabAutomation).setHardness(1.0F).setResistance(20F).setStepSound(Block.soundTypeMetal))	; LiquidWarpPipe.class, null
voltageTransformer	;voltageTransformer	;(TileBlock.create("voltageTransformer", Material.iron, DefaultItemBlock.class, 6)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; VoltageTransformer.class, TileContainer.class
SCSU	;SCSU	;(TileBlock.create("SCSU", Material.iron, ItemESU.class, 0x41)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; ESU.class, TileContainer.class
OCSU	;OCSU	;(TileBlock.create("OCSU", Material.iron, ItemESU.class, 0x41)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; ESU.class, TileContainer.class
CCSU	;CCSU	;(TileBlock.create("CCSU", Material.iron, ItemESU.class, 0x41)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; ESU.class, TileContainer.class
