#variable	;#name	;#texture
selectionTool	;selectionTool	;items/tools/selection
voltMeter	;voltMeter	;items/tools/voltMeter
energyCell	;energyCell	;items/tools/energyCell
chisle	;chisle	;items/tools/chisle
cutter	;cutter	;items/tools/cutter
portableMagnet	;portableMagnet	;items/tools/magnet
builderTexture	;builderTexture	;items/tools/builder
teleporterCoords	;teleporterCoords	;items/tools/teleporter
stoneDrill	;stoneDrill	;items/tools/stoneDrill
ironDrill	;ironDrill	;items/tools/ironDrill
diamondDrill	;diamondDrill	;items/tools/diamondDrill
amLaser	;amLaser	;items/tools/amLaser
mCannon	;mCannon	;items/tools/mCannon
contLiquidAir	;contLiquidAir	;items/tools/liquidAir
contAlgaeFood	;contAlgaeFood	;items/tools/algaeFood
contInvEnergy	;contInvEnergy	;items/tools/invEnergy
contJetFuel	;contJetFuel	;items/tools/jetFuel
jetpack	;jetpack	;items/tools/jetpack
jetpackIron	;jetpackIron	;items/tools/jetpackIron
jetpackSteel	;jetpackSteel	;items/tools/jetpackSteel
jetpackGraphite	;jetpackGraphite	;items/tools/jetpackGraphite
jetpackUnbr	;jetpackUnbr	;items/tools/jetpackUnbr
matterInterface	;matterInterface	;items/tools/matterInterface
fluidUpgrade	;fluidUpgrade	;items/tools/fluidUpgrade
itemUpgrade	;itemUpgrade	;items/tools/itemUpgrade
portableFurnace	;portableFurnace	;items/tools/portableFurnace
portableInventory	;portableInventory	;items/tools/portableInventory
portableCrafter	;portableCrafter	;items/tools/portableCrafter
portableGenerator	;portableGenerator	;items/tools/portableGenerator
portableRemoteInv	;portableRemoteInv	;items/tools/portableRemoteInv
portableTeleporter	;portableTeleporter	;items/tools/portableTeleporter
portablePump	;portablePump	;items/tools/portablePump
translocator	;translocator	;items/tools/translocator
portableTesla	;portableTesla	;items/tools/portableTesla
placement	;placement	;items/tools/placement
synchronizer	;synchronizer	;items/tools/synchronizer
remBlockType	;remBlockType	;items/tools/remBlockType
vertexSel	;vertexSel	;items/tools/vertexSel
